epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.1611,1.01497,3.66854,1.01764,0,0,0,0,0.9405,3.88259,0.9941,3.75e-05,3.75e-05,3.75e-05
2,31.3586,0.71902,3.3963,0.91172,0.00932,0.39389,0.01131,0.00748,0.89679,3.68183,0.89068,8.31687e-05,8.31687e-05,8.31687e-05
3,48.515,0.67506,3.06151,0.89489,0.0312,0.83916,0.2759,0.18295,0.87577,3.47342,0.82619,0.000123888,0.000123888,0.000123888
4,65.422,0.62624,2.70332,0.87231,0.03407,1,0.38853,0.21495,0.85343,3.55249,0.79739,0.000159656,0.000159656,0.000159656
5,83.413,0.65371,2.36418,0.8765,0.03203,1,0.4053,0.24909,0.81808,3.51176,0.79544,0.000190475,0.000190475,0.000190475
6,101.296,0.57467,2.09221,0.86308,0.03366,1,0.40011,0.32595,0.65983,3.39739,0.79768,0.000216344,0.000216344,0.000216344
7,118.706,0.55379,1.82263,0.85527,0.03506,1,0.46268,0.353,0.73704,3.40272,0.80441,0.000237263,0.000237263,0.000237263
8,135.067,0.59771,1.70405,0.87591,0.03827,1,0.49968,0.35039,0.78369,3.44862,0.80016,0.000253231,0.000253231,0.000253231
9,151.228,0.57667,1.5444,0.87108,0.03901,1,0.58151,0.48217,0.58803,3.39634,0.78194,0.00026425,0.00026425,0.00026425
10,167.292,0.58706,1.33261,0.882,0.04036,1,0.59326,0.51887,0.5798,3.34263,0.78938,0.000270319,0.000270319,0.000270319
11,182.553,0.53296,1.20671,0.8782,0.04126,1,0.56437,0.50001,0.58705,3.30507,0.7931,0.000271438,0.000271438,0.000271438
12,199.821,0.49325,1.02667,0.87944,0.04341,1,0.53473,0.47628,0.58996,3.29957,0.79918,0.000267606,0.000267606,0.000267606
13,217.306,0.47751,1.04291,0.86795,0.04187,1,0.54681,0.48774,0.54864,3.28127,0.8001,0.000258825,0.000258825,0.000258825
14,234.74,0.44967,0.95337,0.83652,0.0404,1,0.54431,0.48414,0.55061,3.26217,0.80412,0.000245094,0.000245094,0.000245094
15,252.32,0.44355,0.87637,0.84256,0.03859,1,0.5688,0.51916,0.50447,3.20318,0.80745,0.000226413,0.000226413,0.000226413
16,270.049,0.4257,0.84946,0.84358,0.03778,1,0.56537,0.51286,0.48814,3.15969,0.80788,0.000202781,0.000202781,0.000202781
17,288.279,0.43828,0.86747,0.84128,0.03769,1,0.57699,0.50798,0.49569,3.11243,0.80799,0.0001742,0.0001742,0.0001742
18,305.306,0.43001,0.8585,0.85476,0.94563,0.37007,0.60429,0.54108,0.46532,2.98693,0.81199,0.000140669,0.000140669,0.000140669
19,323.315,0.43199,0.77047,0.85501,0.99723,0.269,0.62771,0.57436,0.44335,2.92355,0.81258,0.000102187,0.000102187,0.000102187
20,340.892,0.4516,0.8172,0.82482,1,0.19115,0.66392,0.60735,0.43629,2.84757,0.81296,5.87563e-05,5.87563e-05,5.87563e-05
